source_idx,target_idx,ratio
1,1,0.8885037644327076
1,3,0.000036652742874519346
1,8,0.00003699529187334663
1,9,0.015303361298208947
1,20,0.01979468298108291
1,25,0.00010619018963645793
1,26,0.012206619390210642
1,31,0.00810350848770764
1,33,0.00024172541017245314
1,39,0.001141820480840978
1,47,0.00013485012253834064
1,48,0.054165117028915744
1,50,0.00022471214323069804
2,2,0.9413353777979485
2,3,0.00868748541745767
2,7,0.0000729814986699554
2,10,0.00008638426719245392
2,12,0.0002931977902330514
2,13,0.006142201844608032
2,16,0.018613274141402958
2,23,0.0003239165443649093
2,28,0.0008677558890114001
2,30,0.014078056090106898
2,43,0.00007131838140803953
2,45,0.0009775868485826288
2,46,0.008337469345630519
2,50,0.0001129941433831079
3,2,0.0017117806577657264
3,3,0.9671185713001035
3,4,0.00015983467139578196
3,7,0.000023863290107483922
3,8,0.000012219650279177112
3,12,0.0000550295698599306
3,16,0.00001975578701139689
3,18,0.000028306799299911963
3,23,0.00001059447793565019
3,28,0.00005667531400527432
3,29,0.00002055123001497969
3,30,0.020979182465267598
3,45,0.00004258362976076872
3,46,0.009747700057813759
3,50,0.00001335109937910092
4,3,0.00026534313959872307
4,4,0.9858748769512418
4,18,0.005497764664242474
4,21,0.000028830974957859498
4,23,0.00035600398319380813
4,25,0.00003585787924866397
4,29,0.0002949439739237369
4,30,0.007546090042207341
4,52,0.00010028839138567255
5,5,0.8482103427627804
5,10,0.003110765458748257
5,19,0.0014309698681890255
5,28,0.07904919343737142
5,32,0.00013911312548716044
5,34,0.0007532534116159938
5,37,0.016496401524348635
5,40,0.017384199961795414
5,45,0.019613455595614778
5,47,0.013689752814929252
5,49,0.00012255203911964137
6,6,0.9740243399159603
6,10,0.014794023926145114
6,13,0.0011387383424518562
6,14,0.002465775342527718
6,21,0.004213294033011024
6,28,0.00015253815414797257
6,37,0.0002362852065075275
6,41,0.002425297077984032
6,45,0.0005497080012647656
7,3,0.000028035962045196363
7,7,0.9995268785990132
7,8,0.00016220529631404755
7,25,0.000030129934314132188
7,28,0.0001596459968742371
7,46,0.00009310421143916524
8,3,8.072880918452343e-6
8,7,0.00003735164563041274
8,8,0.9854088884472972
8,9,0.000016219456185537863
8,12,0.00003713525222488078
8,15,6.5386985696344285e-6
8,17,0.008196235655467335
8,19,4.247474275766627e-6
8,22,0.000042444595069589066
8,25,0.00139433570984365
8,28,0.00018597662142413605
8,29,8.99741001948672e-6
8,33,0.000012943407414481268
8,43,0.004451676179556371
8,44,8.99406027636703e-6
8,46,0.00008413047332256839
8,47,8.783026459826574e-6
8,50,0.00008702900604403594
9,1,0.026173261507458183
9,9,0.9387104374073472
9,19,0.0002995139406619211
9,20,0.0007203159003252202
9,24,0.00011660221861063026
9,26,0.0035295466658433806
9,28,0.0015662016410495166
9,29,0.00015792553234901294
9,31,0.00020640301151497094
